MM-DD HH:MM (UTC),2021,2022,2023,2024
06-25 02:00,71.54,32.73,37.22,42.27
06-25 03:00,63.85,34.34,40.9,35.32
06-25 04:00,89.27,44.68,45.42,40.18
06-25 05:00,96.34,33.66,42.27,32.79
06-25 06:00,64.14,41.14,37.39,34.18
06-25 07:00,72.49,36.18,62.37,35.82
06-25 08:00,198.41,35.58,107.37,24.3
06-25 09:00,163.76,38.52,102.78,35.24
06-25 10:00,161.59,40.47,99.52,57.26
06-25 11:00,133.4,40.24,97.3,40.69
06-25 12:00,122.93,39.53,97.77,54.69
06-25 13:00,116.41,39.14,98.57,68.88
06-25 14:00,95.85,39.1,103.48,29.81
06-25 15:00,87.48,44.9,40.45,36.09
06-25 16:00,67.23,65.73,33.12,59.87
06-25 17:00,44.49,64.53,42.85,59.42
06-25 18:00,60.55,108.63,68.76,112.11
06-25 19:00,30.73,61.39,148.31,49.17
06-25 20:00,46.88,60.76,175.03,54.55
06-25 21:00,72.75,48.81,198.55,38.15
06-25 22:00,74.21,43.62,153.69,43.27
06-25 23:00,47.62,47.11,112.84,52.51
06-26 00:00,48.34,41.19,89.37,28.38
06-26 01:00,28.06,43.43,74.71,35.9
06-26 02:00,30.27,41.97,69.51,32.71
06-26 03:00,38.21,46.08,75.94,35.43
06-26 04:00,30.4,42.3,110.96,56.13
06-26 05:00,71.95,45.7,61.95,24.99
06-26 06:00,100.52,43.47,66.78,21.99
06-26 07:00,108.67,39.31,40.47,20.59
06-26 08:00,104.12,56.37,55.17,21.39
06-26 09:00,143.53,69.12,42.94,26.47
06-26 10:00,130.19,42.67,53.77,31.76
06-26 11:00,119.09,62.9,70.77,47.43
06-26 12:00,106.14,96.33,69.56,44.17
06-26 13:00,109.71,44.47,68.3,37.93
06-26 14:00,100.87,50.58,68.53,45.08
06-26 15:00,132.28,48.44,46.68,67.52
06-26 16:00,89.67,65.01,59.06,125.06
06-26 17:00,70.9,61.34,55.76,125.64
06-26 18:00,58.32,39.52,48.24,86.56
06-26 19:00,74.46,52.55,46.05,40.87
06-26 20:00,82.08,49.55,39.52,97.42
06-26 21:00,53.64,35.87,35.14,34.38
06-26 22:00,59.17,35.4,31.24,35.28
06-26 23:00,60.12,33.82,30.38,35.1
06-27 00:00,63.33,33.15,29.28,34.61
06-27 01:00,36.99,33.01,26.34,35.96
06-27 02:00,64.99,32.68,25.85,39.73
06-27 03:00,69.43,34.64,30.53,40.53
06-27 04:00,51.29,60.24,38.71,54.84
06-27 05:00,79.59,73.43,29.56,66.75
06-27 06:00,112.59,96.58,34.79,49.69
06-27 07:00,118.33,63.77,33.82,31.21
06-27 08:00,153.66,95.51,29.21,37.11
06-27 09:00,148.33,103.9,27.85,29.23
06-27 10:00,149.08,100.82,28.22,30.1
06-27 11:00,85.93,94.72,26.19,33.3
06-27 12:00,69.84,51.38,29.38,39.71
06-27 13:00,51.01,30.0,30.46,36.5
06-27 14:00,120.93,31.67,29.03,31.26
06-27 15:00,138.2,99.55,31.5,38.68
06-27 16:00,130.53,102.09,33.36,48.46
06-27 17:00,66.51,126.19,31.54,49.66
06-27 18:00,72.71,72.56,33.97,44.02
06-27 19:00,46.19,65.76,32.86,51.88
06-27 20:00,92.77,53.21,22.43,42.35
06-27 21:00,66.1,31.8,21.53,36.24
06-27 22:00,51.48,34.01,21.57,36.85
06-27 23:00,37.15,38.71,19.41,42.79
06-28 00:00,32.35,48.74,15.92,39.53
06-28 01:00,39.89,52.09,14.17,42.98
06-28 02:00,49.68,44.93,15.05,48.53
06-28 03:00,40.28,37.07,15.08,49.39
06-28 04:00,49.9,36.56,26.08,48.98
06-28 05:00,72.65,76.3,26.79,52.8
06-28 06:00,126.98,108.35,38.6,59.14
06-28 07:00,215.46,133.75,51.97,68.32
06-28 08:00,236.43,135.2,52.46,60.69
06-28 09:00,229.15,145.2,43.64,60.36
06-28 10:00,222.88,136.6,62.35,51.08
06-28 11:00,230.92,105.55,60.21,48.91
06-28 12:00,237.61,105.69,57.73,49.81
06-28 13:00,232.09,156.09,73.92,48.14
06-28 14:00,155.53,188.65,75.44,42.62
06-28 15:00,102.27,195.39,111.14,27.9
06-28 16:00,75.43,99.98,159.4,27.2
06-28 17:00,94.17,88.38,68.37,25.57
06-28 18:00,120.73,66.4,44.32,30.62
06-28 19:00,122.05,61.89,38.31,32.92
06-28 20:00,82.54,56.51,42.05,29.69
06-28 21:00,131.15,70.97,46.29,26.48
06-28 22:00,65.56,43.13,37.64,28.11
06-28 23:00,49.32,44.72,38.98,31.6
06-29 00:00,57.57,40.68,36.37,33.81
06-29 01:00,54.68,42.2,35.22,43.43
06-29 02:00,45.32,38.09,35.62,41.95
06-29 03:00,55.33,44.69,43.22,41.3
06-29 04:00,184.12,65.74,35.95,40.32
06-29 05:00,289.32,152.38,49.34,33.61
06-29 06:00,237.56,109.78,105.88,34.17
06-29 07:00,126.29,136.15,90.47,35.22
06-29 08:00,240.7,138.83,114.34,30.03
06-29 09:00,262.9,127.71,101.63,29.03
06-29 10:00,254.16,140.63,151.41,40.82
06-29 11:00,257.45,138.39,106.99,32.51
06-29 12:00,262.53,140.99,117.94,33.78
06-29 13:00,270.43,122.58,89.41,32.44
06-29 14:00,257.25,89.77,82.06,30.93
06-29 15:00,285.25,128.86,122.48,33.06
06-29 16:00,301.3,79.87,74.62,36.82
06-29 17:00,213.57,76.89,55.34,56.48
06-29 18:00,155.55,67.3,103.11,66.76
06-29 19:00,211.91,50.15,67.28,77.52
06-29 20:00,274.64,53.01,64.67,71.63
06-29 21:00,159.82,66.53,72.41,51.83
06-29 22:00,106.48,51.37,41.8,32.74
06-29 23:00,67.5,70.36,33.91,29.86
06-30 00:00,72.52,66.63,39.88,28.26
06-30 01:00,92.41,60.6,35.33,31.19
06-30 02:00,107.07,65.16,33.17,34.54
06-30 03:00,143.78,64.5,38.58,42.34
06-30 04:00,278.66,77.09,48.58,33.77
06-30 05:00,331.95,106.2,41.64,30.98
06-30 06:00,308.71,115.97,29.69,59.77
06-30 07:00,225.15,129.11,38.72,90.59
06-30 08:00,217.19,142.42,32.24,110.93
06-30 09:00,208.03,137.86,30.29,122.0
06-30 10:00,283.65,125.5,28.5,116.36
06-30 11:00,302.83,118.12,28.51,107.09
06-30 12:00,224.06,165.14,30.04,95.65
06-30 13:00,252.97,126.86,29.63,92.41
06-30 14:00,187.44,116.76,32.98,55.24
06-30 15:00,154.61,89.01,37.04,28.31
06-30 16:00,153.33,53.77,43.82,25.9
06-30 17:00,136.35,119.93,49.14,29.11
06-30 18:00,143.12,120.5,40.97,29.34
06-30 19:00,120.33,106.56,35.29,30.24
06-30 20:00,116.77,106.74,35.68,34.28
06-30 21:00,124.42,68.7,39.69,36.29
06-30 22:00,107.13,72.44,39.61,45.39
06-30 23:00,105.49,75.71,43.94,41.98
07-01 00:00,111.14,51.67,41.18,42.15
07-01 01:00,102.14,51.4,37.54,49.56
07-01 02:00,108.69,48.49,40.24,42.71
07-01 03:00,126.21,53.13,37.69,55.58
07-01 04:00,130.86,74.85,32.19,65.29
07-01 05:00,185.18,87.07,30.07,58.68
07-01 06:00,186.34,106.63,32.62,54.49
07-01 07:00,237.34,85.98,28.66,46.06
07-01 08:00,256.91,73.9,24.99,38.23
07-01 09:00,234.84,58.39,24.6,34.22
07-01 10:00,238.32,57.59,30.58,28.91
07-01 11:00,253.5,53.63,48.2,33.76
07-01 12:00,252.61,58.75,72.36,29.42
07-01 13:00,242.39,52.53,69.74,31.35
07-01 14:00,245.25,56.55,49.64,29.96
07-01 15:00,257.07,60.11,40.12,30.23
07-01 16:00,268.49,55.14,33.35,33.0
07-01 17:00,291.31,38.9,25.5,45.26
07-01 18:00,248.52,27.96,24.97,101.66
07-01 19:00,219.88,36.76,27.01,54.3
07-01 20:00,154.02,27.12,30.34,38.29
07-01 21:00,89.02,29.49,35.66,39.82
07-01 22:00,98.53,28.36,41.07,36.86
07-01 23:00,102.62,29.66,37.71,34.84
07-02 00:00,131.64,27.94,46.6,32.98
07-02 01:00,127.31,28.09,46.65,37.51
07-02 02:00,137.59,27.37,35.11,41.3
07-02 03:00,148.44,27.92,34.02,40.77
07-02 04:00,180.14,28.72,35.78,38.36
07-02 05:00,224.24,27.06,31.56,41.39
07-02 06:00,211.87,28.06,49.14,41.82
07-02 07:00,275.17,27.84,80.58,31.95
07-02 08:00,256.89,27.74,76.45,27.19
07-02 09:00,248.04,30.14,60.63,27.25
07-02 10:00,238.45,28.77,58.26,26.73
07-02 11:00,229.35,28.05,63.92,31.16
07-02 12:00,225.63,25.96,60.25,33.72
07-02 13:00,211.61,27.95,62.24,38.25
07-02 14:00,214.51,30.0,65.6,36.6
07-02 15:00,232.1,35.15,66.63,35.1
07-02 16:00,187.02,47.13,56.8,38.02
07-02 17:00,117.21,45.51,31.26,33.8
07-02 18:00,106.84,40.35,30.9,40.58
07-02 19:00,155.85,42.2,31.07,37.17
07-02 20:00,122.67,33.33,28.19,34.16
07-02 21:00,126.09,31.68,28.42,28.26
07-02 22:00,82.01,32.62,33.14,31.4
07-02 23:00,60.58,33.21,34.69,30.52
07-03 00:00,63.74,28.79,30.48,32.52
07-03 01:00,56.2,27.44,35.99,35.63
07-03 02:00,45.53,26.53,36.98,33.68
07-03 03:00,44.75,26.06,33.72,31.98
07-03 04:00,48.76,24.66,25.96,29.3
07-03 05:00,96.86,25.93,26.95,40.4
07-03 06:00,92.0,25.97,22.86,35.82
07-03 07:00,95.02,28.55,29.5,36.06
07-03 08:00,160.67,30.46,28.46,35.52
07-03 09:00,178.72,34.22,28.05,35.88
07-03 10:00,168.21,36.12,29.04,35.33
07-03 11:00,158.68,35.5,27.8,33.83
07-03 12:00,159.69,33.71,40.43,35.71
07-03 13:00,159.04,31.02,50.38,40.33
07-03 14:00,183.85,29.94,33.82,43.99
07-03 15:00,69.42,31.98,25.94,39.92
07-03 16:00,86.69,28.61,22.77,53.94
07-03 17:00,119.01,34.55,23.11,65.4
07-03 18:00,111.32,41.87,23.9,83.25
07-03 19:00,67.8,42.18,24.99,52.65
07-03 20:00,58.53,46.41,24.79,58.97
07-03 21:00,61.51,43.05,25.36,44.6
07-03 22:00,58.9,36.65,25.84,40.78
07-03 23:00,38.56,33.52,25.66,43.37
07-04 00:00,35.87,32.77,26.18,53.63
07-04 01:00,46.63,34.38,25.95,52.21
07-04 02:00,54.6,44.61,26.77,49.75
07-04 03:00,36.37,37.58,30.84,49.09
07-04 04:00,34.58,31.35,25.79,42.98
07-04 05:00,88.54,32.93,24.05,42.99
07-04 06:00,90.09,49.07,24.07,28.33
07-04 07:00,83.32,33.24,22.59,30.67
07-04 08:00,59.98,32.31,28.5,38.87
07-04 09:00,72.13,28.39,36.43,59.07
07-04 10:00,69.9,34.54,62.02,59.02
07-04 11:00,76.15,38.7,57.46,56.44
07-04 12:00,81.2,43.57,57.59,54.55
07-04 13:00,59.38,47.49,44.74,51.7
07-04 14:00,124.95,39.51,34.04,53.84
07-04 15:00,79.96,40.7,25.29,45.93
07-04 16:00,154.54,42.21,22.69,34.71
07-04 17:00,110.59,41.24,22.1,31.04
07-04 18:00,80.41,41.79,22.81,30.58
07-04 19:00,55.24,36.81,23.68,30.94
07-04 20:00,80.88,29.1,25.01,31.78
07-04 21:00,64.15,24.18,28.12,32.17
07-04 22:00,40.22,25.19,32.78,30.42
07-04 23:00,45.21,28.93,38.47,28.53
07-05 00:00,46.05,29.47,38.67,22.95
07-05 01:00,58.77,29.24,43.21,26.93
07-05 02:00,53.1,29.03,39.76,31.98
07-05 03:00,159.03,35.28,39.3,24.77
07-05 04:00,157.69,30.9,48.33,24.87
07-05 05:00,201.81,33.53,58.78,22.82
07-05 06:00,229.25,46.71,69.74,21.96
07-05 07:00,216.23,51.12,48.89,28.32
07-05 08:00,194.93,31.34,35.19,39.56
07-05 09:00,177.66,31.79,44.1,51.15
07-05 10:00,166.98,25.41,58.53,60.35
07-05 11:00,167.17,24.13,64.79,63.97
07-05 12:00,169.02,25.98,70.13,67.72
07-05 13:00,166.28,25.67,70.76,72.26
07-05 14:00,195.46,23.46,70.58,49.06
07-05 15:00,186.39,24.48,72.99,19.72
07-05 16:00,220.21,25.39,36.57,15.94
07-05 17:00,225.04,27.64,23.69,15.82
07-05 18:00,210.24,39.86,23.75,15.85
07-05 19:00,209.43,85.78,24.15,18.56
07-05 20:00,206.73,38.14,24.38,32.88
07-05 21:00,161.4,40.71,25.27,28.13
07-05 22:00,126.47,27.54,25.69,33.37
07-05 23:00,129.11,24.87,25.29,33.16
07-06 00:00,141.46,24.19,28.45,36.72
07-06 01:00,124.72,23.85,26.67,37.44
07-06 02:00,111.08,23.67,24.33,25.8
07-06 03:00,90.42,24.0,22.55,34.56
07-06 04:00,75.16,33.17,19.9,69.35
07-06 05:00,180.99,61.77,19.84,83.91
07-06 06:00,147.96,48.65,19.68,74.35
07-06 07:00,127.25,44.46,22.11,71.9
07-06 08:00,110.49,33.88,23.56,80.36
07-06 09:00,115.96,23.85,21.63,69.99
07-06 10:00,128.4,23.2,26.69,67.55
07-06 11:00,143.76,25.09,24.68,69.95
07-06 12:00,149.15,24.34,24.72,77.86
07-06 13:00,128.42,23.04,23.87,84.35
07-06 14:00,118.85,22.73,28.37,82.07
07-06 15:00,177.99,22.23,21.79,66.83
07-06 16:00,105.5,22.88,23.56,73.35
07-06 17:00,117.33,22.71,23.26,80.68
07-06 18:00,165.39,24.18,23.17,65.73
07-06 19:00,109.51,24.87,34.16,33.87
07-06 20:00,128.61,24.3,61.0,36.82
07-06 21:00,211.57,23.66,49.46,34.44
07-06 22:00,182.08,24.35,39.53,59.84
07-06 23:00,187.56,24.32,38.08,69.0
07-07 00:00,129.08,23.43,34.56,59.58
07-07 01:00,107.23,25.26,31.91,44.72
07-07 02:00,121.2,24.98,32.31,39.84
07-07 03:00,124.52,25.72,31.43,47.04
07-07 04:00,108.49,27.46,28.6,42.06
07-07 05:00,163.23,38.72,31.75,34.97
07-07 06:00,190.89,42.46,28.54,50.12
07-07 07:00,179.94,44.09,30.03,85.28
07-07 08:00,163.67,36.93,29.62,84.19
07-07 09:00,171.56,35.77,24.18,78.97
07-07 10:00,159.92,32.58,22.77,82.95
07-07 11:00,147.04,32.7,23.91,82.43
07-07 12:00,141.56,31.12,23.84,85.1
07-07 13:00,145.7,32.12,23.52,80.49
07-07 14:00,157.03,31.09,30.32,78.08
07-07 15:00,205.21,33.72,29.61,55.25
07-07 16:00,213.75,33.85,31.53,40.42
07-07 17:00,242.29,33.59,41.59,42.74
07-07 18:00,235.93,34.14,48.88,56.64
07-07 19:00,203.09,29.68,51.21,62.07
07-07 20:00,195.92,30.56,47.89,57.62
07-07 21:00,223.83,31.52,37.31,56.45
07-07 22:00,205.67,28.55,27.16,45.46
07-07 23:00,203.24,27.94,26.67,44.97
07-08 00:00,168.59,28.06,31.0,37.8
07-08 01:00,168.44,29.11,31.8,37.03
07-08 02:00,174.9,28.48,27.87,36.55
07-08 03:00,163.73,24.94,29.31,37.34
07-08 04:00,156.68,25.02,27.59,56.4
07-08 05:00,224.57,32.41,25.07,122.35
07-08 06:00,200.99,34.94,24.47,129.28
07-08 07:00,230.24,32.19,23.26,106.64
07-08 08:00,228.27,34.22,24.18,71.23
07-08 09:00,200.68,32.97,23.96,73.1
07-08 10:00,218.58,26.81,26.39,72.29
07-08 11:00,186.86,28.46,49.13,68.6
07-08 12:00,188.73,26.9,66.4,69.08
07-08 13:00,148.24,24.11,27.29,73.84
07-08 14:00,214.07,27.13,23.08,46.49
07-08 15:00,260.62,32.53,22.49,57.95
07-08 16:00,247.95,39.9,23.85,134.34
07-08 17:00,253.6,29.88,29.81,166.99
07-08 18:00,340.34,23.38,32.73,183.39
07-08 19:00,286.75,24.19,30.76,234.4
07-08 20:00,250.02,24.78,29.56,243.16
07-08 21:00,199.86,23.8,29.5,199.88
07-08 22:00,138.73,23.56,30.42,158.66
07-08 23:00,129.99,23.5,39.94,136.87
07-09 00:00,127.72,23.98,32.95,125.49
07-09 01:00,122.41,24.94,28.21,132.77
07-09 02:00,133.31,25.23,30.6,111.15
07-09 03:00,152.53,24.78,33.85,127.1
07-09 04:00,212.87,23.38,33.0,129.81
07-09 05:00,234.86,23.09,27.05,137.46
07-09 06:00,215.3,21.56,25.42,111.06
07-09 07:00,254.15,20.64,25.56,63.24
07-09 08:00,237.52,20.54,25.13,72.76
07-09 09:00,221.33,20.7,44.63,71.86
07-09 10:00,170.71,21.42,60.44,77.78
07-09 11:00,169.86,23.82,56.38,69.43
07-09 12:00,157.09,27.99,53.93,60.1
07-09 13:00,127.32,33.31,23.36,42.33
07-09 14:00,197.42,31.95,22.94,29.7
07-09 15:00,173.55,25.84,22.15,27.52
07-09 16:00,239.84,23.69,27.58,26.27
07-09 17:00,235.11,24.73,35.0,28.21
07-09 18:00,240.29,24.28,39.21,32.14
07-09 19:00,237.56,27.02,41.22,33.15
07-09 20:00,230.22,28.21,34.6,30.81
07-09 21:00,232.09,26.91,25.81,29.23
07-09 22:00,204.96,25.77,29.17,28.75
07-09 23:00,206.62,28.06,25.42,23.68
07-10 00:00,183.76,28.26,29.21,21.69
07-10 01:00,188.2,26.9,25.72,28.62
07-10 02:00,184.29,26.92,26.83,29.48
07-10 03:00,195.76,26.61,27.77,28.59
07-10 04:00,188.35,25.66,29.81,28.17
07-10 05:00,172.91,25.3,29.38,27.53
07-10 06:00,185.65,25.17,25.35,32.64
07-10 07:00,182.4,25.63,27.47,31.9
07-10 08:00,181.32,25.73,31.5,62.04
07-10 09:00,261.15,41.49,34.65,37.96
07-10 10:00,250.32,54.75,29.37,45.55
07-10 11:00,256.25,53.34,29.03,43.94
07-10 12:00,236.27,48.94,30.79,48.9
07-10 13:00,165.1,44.89,31.54,48.17
07-10 14:00,166.87,25.3,27.0,36.77
07-10 15:00,163.07,25.86,22.78,48.29
07-10 16:00,148.45,24.12,16.84,62.58
07-10 17:00,136.51,24.85,21.87,119.39
07-10 18:00,135.14,25.61,20.95,159.37
07-10 19:00,124.6,29.92,15.09,192.72
07-10 20:00,127.48,29.99,13.7,84.94
07-10 21:00,157.88,26.08,31.6,73.36
07-10 22:00,111.72,31.02,14.93,61.37
07-10 23:00,106.08,26.64,25.26,52.91
07-11 00:00,102.94,42.61,26.31,54.05
07-11 01:00,85.14,33.25,27.69,61.28
07-11 02:00,101.04,31.85,29.24,63.47
07-11 03:00,93.97,37.04,31.51,67.56
07-11 04:00,82.85,35.64,30.16,76.69
07-11 05:00,75.73,23.71,30.02,95.14
07-11 06:00,85.5,26.25,32.82,97.42
07-11 07:00,109.15,27.45,30.88,82.1
07-11 08:00,148.4,37.05,31.03,82.03
07-11 09:00,138.62,27.27,33.94,78.28
07-11 10:00,112.12,24.89,34.16,55.74
07-11 11:00,87.77,27.82,49.37,47.22
07-11 12:00,64.98,37.22,44.93,41.34
07-11 13:00,78.99,29.0,33.71,44.69
07-11 14:00,99.7,36.01,32.11,51.03
07-11 15:00,137.93,39.18,28.86,56.04
07-11 16:00,169.57,40.84,23.18,72.3
07-11 17:00,155.24,39.37,23.57,96.45
07-11 18:00,132.86,43.68,24.0,118.01
07-11 19:00,145.77,42.6,21.8,114.95
07-11 20:00,141.59,43.59,24.22,76.32
07-11 21:00,140.61,32.76,25.61,53.43
07-11 22:00,120.85,30.08,23.8,41.33
07-11 23:00,116.81,33.01,23.42,51.04
07-12 00:00,107.4,29.9,24.15,51.85
07-12 01:00,120.87,30.31,26.62,61.66
07-12 02:00,132.23,31.23,24.4,56.12
07-12 03:00,130.92,31.58,24.53,49.3
07-12 04:00,143.36,34.06,24.14,55.89
07-12 05:00,143.19,36.7,24.76,53.11
07-12 06:00,153.24,70.13,35.47,44.21
07-12 07:00,150.64,68.81,44.26,36.29
07-12 08:00,140.98,31.27,44.19,39.71
07-12 09:00,135.05,30.88,33.61,40.39
07-12 10:00,129.07,32.78,44.23,35.4
07-12 11:00,113.09,27.82,52.52,31.85
07-12 12:00,132.95,31.17,43.21,32.22
07-12 13:00,146.35,29.14,34.15,27.27
07-12 14:00,193.35,29.47,24.13,25.51
07-12 15:00,155.69,41.35,22.75,24.8
07-12 16:00,173.02,41.09,25.44,25.58
07-12 17:00,199.03,37.31,35.6,27.07
07-12 18:00,205.8,35.35,53.78,29.13
07-12 19:00,210.38,36.65,54.89,26.23
07-12 20:00,192.2,31.53,44.29,25.27
07-12 21:00,179.69,29.34,41.16,24.74
07-12 22:00,192.49,29.29,52.48,25.33
07-12 23:00,175.71,30.5,42.43,25.62
07-13 00:00,175.72,30.88,37.98,26.38
07-13 01:00,159.53,33.53,34.47,28.6
07-13 02:00,153.57,33.7,37.64,29.32
07-13 03:00,165.11,30.38,37.36,29.36
07-13 04:00,175.59,30.69,30.82,28.78
07-13 05:00,185.91,30.89,27.75,29.8
07-13 06:00,224.39,30.64,23.81,32.88
07-13 07:00,220.09,30.12,28.26,43.4
07-13 08:00,205.8,30.67,24.63,91.55
07-13 09:00,181.62,30.23,20.91,106.67
07-13 10:00,170.25,32.93,17.9,107.5
07-13 11:00,175.79,26.63,16.81,107.82
07-13 12:00,180.3,26.08,22.51,104.34
07-13 13:00,202.38,25.35,21.49,101.5
07-13 14:00,200.42,26.33,21.3,100.45
07-13 15:00,217.64,24.45,20.71,100.7
07-13 16:00,214.19,26.84,20.7,47.27
07-13 17:00,216.53,26.74,22.23,40.61
07-13 18:00,214.32,31.87,26.8,37.79
07-13 19:00,203.98,28.63,22.7,40.9
07-13 20:00,190.88,28.3,22.21,39.02
07-13 21:00,162.95,29.67,22.26,36.5
07-13 22:00,161.02,31.32,22.75,33.74
07-13 23:00,144.65,31.86,26.95,33.43
07-14 00:00,133.24,32.53,32.99,33.0
07-14 01:00,132.23,32.48,38.19,33.84
07-14 02:00,134.08,32.11,43.93,34.66
07-14 03:00,135.59,33.05,40.1,34.42
07-14 04:00,174.96,29.08,39.27,34.81
07-14 05:00,201.59,27.51,40.26,38.83
07-14 06:00,194.13,26.16,36.82,89.32
07-14 07:00,159.72,24.98,38.46,98.1
07-14 08:00,129.11,24.69,33.87,88.5
07-14 09:00,165.38,25.32,33.47,82.56
07-14 10:00,130.34,25.48,31.02,80.45
07-14 11:00,179.36,23.4,29.8,80.22
07-14 12:00,182.23,25.64,30.97,85.28
07-14 13:00,171.62,27.32,30.21,86.44
07-14 14:00,202.04,30.04,31.96,92.39
07-14 15:00,164.31,28.53,35.84,80.03
07-14 16:00,223.83,28.81,33.93,43.25
07-14 17:00,216.67,30.14,22.42,47.02
07-14 18:00,212.28,34.41,24.26,53.07
07-14 19:00,221.08,36.25,22.04,54.57
07-14 20:00,227.4,32.59,32.12,47.69
07-14 21:00,174.61,31.41,31.34,47.54
07-14 22:00,130.9,31.6,31.35,42.02
07-14 23:00,107.4,33.48,31.24,41.65
07-15 00:00,93.07,34.35,40.39,42.4
07-15 01:00,79.87,35.27,71.53,45.99
07-15 02:00,76.72,35.66,58.42,44.55
07-15 03:00,81.44,34.86,49.9,40.36
07-15 04:00,76.56,31.08,33.73,39.28
07-15 05:00,102.05,28.91,39.94,40.16
07-15 06:00,111.41,28.34,32.64,34.07
07-15 07:00,157.0,29.06,45.0,29.6
07-15 08:00,154.37,27.98,41.39,29.04
07-15 09:00,151.64,24.34,45.35,46.33
07-15 10:00,145.62,26.53,52.24,57.69
07-15 11:00,121.65,26.24,52.16,57.89
07-15 12:00,105.02,25.86,58.65,67.82
07-15 13:00,94.85,27.37,59.6,44.31
07-15 14:00,101.1,26.58,47.78,33.43
07-15 15:00,136.43,26.27,46.72,35.33
07-15 16:00,145.88,22.18,27.16,60.84
07-15 17:00,141.06,23.07,25.69,69.1
07-15 18:00,170.99,25.32,25.7,88.24
07-15 19:00,169.73,28.68,24.46,94.51
07-15 20:00,125.33,30.35,24.19,82.92
07-15 21:00,105.49,30.69,24.68,59.36
07-15 22:00,109.43,31.58,25.08,47.4
07-15 23:00,99.76,34.03,26.52,56.59
07-16 00:00,84.18,31.65,27.74,40.41
07-16 01:00,88.48,27.57,27.63,41.74
07-16 02:00,94.95,30.18,32.46,44.18
07-16 03:00,83.73,29.21,32.56,36.3
07-16 04:00,90.5,26.85,44.6,41.95
07-16 05:00,96.96,24.62,42.71,42.78
07-16 06:00,109.08,26.17,76.08,42.71
07-16 07:00,93.79,25.43,90.78,37.24
07-16 08:00,85.73,25.6,82.15,54.69
07-16 09:00,70.44,40.13,72.95,58.87
07-16 10:00,76.93,54.42,64.08,85.6
07-16 11:00,67.42,103.47,66.21,94.35
07-16 12:00,83.84,104.28,71.99,89.15
07-16 13:00,79.32,79.4,78.82,92.63
07-16 14:00,77.27,44.91,76.18,105.04
07-16 15:00,81.29,23.63,43.61,70.98
07-16 16:00,86.83,25.52,28.06,44.89
07-16 17:00,84.45,31.47,30.05,53.19
07-16 18:00,111.74,41.12,35.56,62.94
07-16 19:00,95.42,42.65,39.81,63.43
07-16 20:00,83.53,24.5,38.37,51.14
07-16 21:00,67.74,25.73,36.64,49.32
07-16 22:00,83.15,27.23,35.72,45.83
07-16 23:00,96.84,31.05,35.97,42.38
07-17 00:00,102.76,31.21,35.74,41.71
07-17 01:00,75.3,32.86,35.19,40.0
07-17 02:00,86.01,34.16,34.54,40.15
07-17 03:00,80.97,32.95,33.56,41.08
07-17 04:00,80.51,32.78,30.71,40.92
07-17 05:00,66.62,33.1,30.8,36.9
07-17 06:00,72.64,33.28,29.43,37.43
07-17 07:00,59.27,32.76,25.69,31.21
07-17 08:00,62.02,33.8,22.56,28.77
07-17 09:00,64.04,40.81,24.83,27.51
07-17 10:00,57.19,43.03,31.74,26.39
07-17 11:00,59.8,34.6,29.71,25.85
07-17 12:00,101.63,45.86,34.44,24.45
07-17 13:00,101.98,28.25,28.18,23.83
07-17 14:00,89.77,26.83,28.06,25.33
07-17 15:00,59.81,25.09,24.11,26.19
07-17 16:00,66.73,29.58,25.02,29.24
07-17 17:00,64.99,35.15,25.04,30.83
07-17 18:00,80.03,33.77,27.04,33.71
07-17 19:00,78.41,27.21,24.08,34.17
07-17 20:00,62.74,27.72,23.32,31.51
07-17 21:00,52.61,36.55,25.65,31.0
07-17 22:00,53.84,28.31,26.63,27.69
07-17 23:00,56.99,33.35,26.64,29.22
07-18 00:00,45.57,44.34,26.61,31.68
07-18 01:00,42.2,43.03,26.8,31.02
07-18 02:00,28.07,42.05,26.78,30.68
07-18 03:00,34.19,32.91,26.56,31.6
07-18 04:00,40.65,31.58,25.85,32.89
07-18 05:00,33.54,38.45,26.01,31.65
07-18 06:00,30.48,45.0,25.11,27.95
07-18 07:00,32.33,38.57,28.31,25.63
07-18 08:00,34.84,39.17,31.93,25.41
07-18 09:00,36.35,41.75,29.0,27.1
07-18 10:00,32.71,30.96,27.34,25.87
07-18 11:00,56.9,30.33,29.41,43.49
07-18 12:00,84.49,27.93,33.49,42.31
07-18 13:00,88.35,30.92,27.07,31.0
07-18 14:00,62.41,25.89,27.1,30.26
07-18 15:00,33.88,27.31,26.62,37.27
07-18 16:00,31.97,24.06,27.21,34.13
07-18 17:00,34.8,23.84,17.72,44.85
07-18 18:00,40.34,29.37,21.1,57.93
07-18 19:00,46.36,31.5,25.61,48.91
07-18 20:00,44.23,30.27,18.59,52.13
07-18 21:00,41.16,28.4,20.42,49.18
07-18 22:00,44.4,28.64,20.14,38.5
07-18 23:00,41.84,32.44,19.89,35.86
07-19 00:00,43.92,31.54,20.3,38.27
07-19 01:00,49.54,31.3,34.62,37.43
07-19 02:00,47.94,29.74,38.92,37.4
07-19 03:00,49.56,31.17,39.59,38.44
07-19 04:00,51.07,44.38,24.05,40.42
07-19 05:00,58.03,52.34,27.78,38.38
07-19 06:00,56.91,59.01,30.57,36.76
07-19 07:00,48.83,44.86,33.74,36.82
